leaid,year,lea_name,phone,urban_centric_locale,number_of_schools,enrollment,teachers_total_fte,,rev_total,rev_fed_total,rev_state_total,rev_local_total,exp_total,exp_current_instruction_total,outlay_capital_total,payments_charter_schools,salaries_instruction,benefits_employee_total,debt_interest,debt_longterm_outstand_end_fy,debt_shortterm_outstand_end_fy,fiscal year,name of school district,secured_net taxable value,unsecured_net taxable value
600006,2008,ROSS VALLEY ELEMENTARY,4154542162,21,4,1940,101.9000015258789,,26203000,1159000,9743000,15301000,18643000,11104000,175000,0,8095000,2987000,524000,18648000,0,2008,Ross Valley Elementary,3958153316,33092126
600012,2008,TWIN RIDGES ELEMENTARY,5302659052,42,4,97,8,,5695000,297000,4273000,1125000,2609000,717000,12000,0,432000,259000,0,0,0,2008,Twin Ridges Elementary,,
600013,2008,ROCKLIN UNIFIED,9166242428,21,19,11079,532.7000122070312,,118752000,6844000,54246000,57662000,124758000,50245000,32159000,0,37869000,15344000,6916000,165672000,0,2008,Rocklin Unified,6934478235,150224234
600016,2008,UPLAND UNIFIED,9099851864,21,15,14307,671.5,,110830000,10666000,67847000,32317000,111630000,63283000,12581000,0,44998000,20018000,2302000,59267000,0,2008,Upland Unified,6751951427,216769464
600019,2008,DUBLIN UNIFIED,9258282551,21,10,5739,267.8999938964844,,61097000,3529000,20796000,36772000,82685000,31281000,22494000,0,24756000,7444000,5744000,142161000,0,2008,Dublin Unified,7924383787,220162709
600020,2008,PLEASANTON UNIFIED,9254625500,13,16,14847,693.5999755859375,,177973000,16780000,82754000,78439000,169332000,89198000,5220000,0,69115000,19077000,5317000,133914000,0,2008,Pleasanton Unified,15984255710,661921396
600021,2008,SUNOL GLEN UNIFIED,9258622026,41,1,233,11.899999618530272,,2721000,172000,955000,1594000,2283000,1530000,7000,0,1061000,290000,34000,1969000,0,2008,Sunol Glen Unified,289835837,62045244
600022,2008,MENDOTA UNIFIED,5596554942,32,7,3056,132,,28893000,4376000,19869000,4648000,39841000,14316000,15646000,0,8894000,5210000,277000,4855000,0,2008,Mendota Unified,459261131,70711913
600025,2008,MANHATTAN BEACH UNIFIED,3103187345,21,7,6481,301.79998779296875,,64481000,3126000,23914000,37441000,59655000,34705000,359000,0,24198000,9345000,2081000,63940000,0,2008,Manhattan Beach Unified,10533857291,272917262
600026,2008,EL TEJON UNIFIED,6612486247,42,5,1301,59.59999847412109,,13390000,1126000,6854000,5410000,12064000,6278000,724000,0,4395000,2430000,420000,6935000,0,2008,El Tejon Unified,826332055,5772622
600028,2008,TEMECULA VALLEY UNIFIED,9516762661,13,31,29492,1362.699951171875,,256629000,18456000,128835000,109338000,225789000,151111000,1410000,0,114006000,42881000,2029000,41588000,0,2008,Temecula Valley Unified,18157986722,728921077
600029,2008,MURRIETA VALLEY UNIFIED,9516961600,41,20,21372,916.2000122070312,,226101000,13993000,119955000,92153000,252465000,104399000,78113000,0,77366000,33125000,7327000,269837000,0,2008,Murrieta Valley Unified,13360834002,195958594
600032,2008,REDONDO BEACH UNIFIED,3103795449,21,13,8277,380.6000061035156,,88227000,5147000,38718000,44362000,95651000,45580000,11321000,0,32243000,13876000,3589000,97465000,0,2008,Redondo Beach Unified,10630691435,421712141
600033,2008,DOS PALOS ORO LOMA JOINT UNIFIED,2093926101,32,6,2570,132.8000030517578,,26986000,4138000,17327000,5521000,25850000,14314000,651000,0,10059000,5061000,136000,4392000,0,2008,Dos Palos Oro Loma Joint Unified,,
600034,2008,WINDSOR UNIFIED,7078377701,21,9,5515,256.20001220703125,,52796000,4591000,24329000,23876000,53029000,29507000,4389000,0,19123000,9827000,2227000,63396000,0,2008,Windsor Unified,3879643408,76604675
600035,2008,FARMERSVILLE UNIFIED,5595922010,22,6,2561,142.10000610351562,,28752000,4545000,20659000,3548000,26401000,15195000,1848000,0,9773000,5343000,196000,4647000,0,2008,Farmersville Unified,302476589,8160876
600036,2008,NATOMAS UNIFIED,9165675400,41,18,12188,614.7000122070312,,117981000,9158000,64643000,44180000,119422000,59696000,9114000,0,41097000,18444000,12225000,268132000,0,2008,Natomas Unified,8395443548,731898583
600037,2008,FERNDALE UNIFIED,7077865900,42,2,487,29.39999961853028,,4884000,458000,2628000,1798000,5246000,3010000,674000,0,1967000,1085000,58000,1025000,0,2008,Ferndale Unified,277273144,10356017
600039,2008,DELHI UNIFIED,2096562000,23,7,2649,132.5,,25747000,3718000,19092000,2937000,25375000,14283000,1734000,0,9753000,4381000,221000,3524000,0,2008,Delhi Unified,649581111,26517493
600040,2008,RIVERDALE JOINT UNIFIED,5598678200,42,5,1572,81.09999847,,16605000,2264000,10024000,4317000,15141000,8214000,358000,0,5410000,2902000,85000,3254000,0,2008,Riverdale Joint Unified,722131276,52154141
600043,2008,SCOTTS VALLEY UNIFIED,8314381820,22,4,2595,118.3000030517578,,22293000,1467000,7962000,12864000,22470000,13089000,1609000,0,8374000,4075000,942000,23050000,0,2008,Scotts Valley Unified,3073871151,107809766
600044,2008,HEALDSBURG UNIFIED,7074313488,21,4,2161,104.9000015258789,,24769000,2656000,4253000,17860000,23100000,13693000,522000,0,7841000,4922000,1107000,38138000,0,2008,Healdsburg Unified,3230845933,155410320
600046,2008,GONZALES UNIFIED,8316750100,32,4,2299,110.9000015258789,,23650000,3272000,13203000,7175000,22471000,12388000,328000,0,8670000,4612000,171000,7116000,0,2008,Gonzales Unified,755534826,58794021
600047,2008,TRACY JOINT UNIFIED,2098303200,23,25,17342,835.5,,158141000,14035000,95630000,48476000,210999000,86585000,72703000,0,61015000,27106000,2184000,60790000,0,2008,Tracy Joint Unified,13517212894,482768334
600062,2008,OAKDALE JOINT UNIFIED,2098484884,31,9,5327,249.1999969482422,,50777000,4574000,26346000,19857000,48000000,26753000,3961000,0,18496000,7859000,837000,18400000,0,2008,Oakdale Joint,46529553,305880
600068,2008,GOLDEN VALLEY UNIFIED,5596457500,31,8,1941,109,,19133000,1481000,11943000,5709000,36570000,9616000,18770000,0,6769000,3784000,606000,51794000,0,2008,Golden Valley Unified,1061984030,
600069,2008,VALLEY CENTER-PAUMA UNIFIED,7607490464,42,10,4376,193.1999969482422,,45428000,5966000,16631000,22831000,41793000,23361000,1220000,0,17381000,7470000,436000,2446000,0,2008,Valley Center-Pauma Unified,3083251727,23779337
600153,2008,ALHAMBRA UNIFIED,6269433000,21,18,18749,770.9000244140625,,219957000,25626000,152466000,41865000,212084000,98422000,27943000,0,64206000,45679000,2954000,142921000,0,2008,Alhambra Unified,8985002156,240989998
600159,2008,SCOTT VALLEY UNIFIED,5304682727,43,11,693,49.79999923706055,,9979000,1497000,5011000,3471000,9537000,5098000,846000,0,3414000,1532000,15000,0,0,2008,Scotts Valley Unified,3073871151,107809766
